1:	102.000000   	lunch		4.624973	0.000000
2:	93.000000    	no		4.532599	0.693147
3:	74.000000    	our		4.304065	1.098612
4:	60.000000    	now		4.094345	1.386294
5:	60.000000    	need		4.094345	1.609438
6:	59.000000    	has		4.077537	1.791759
7:	51.000000    	got		3.931826	1.945910
8:	48.000000    	her		3.871201	2.079442
9:	47.000000    	new		3.850148	2.197225
10:	47.000000    	she		3.850148	2.302585
11:	45.000000    	best		3.806662	2.397895
12:	45.000000    	it’s		3.806662	2.484907
13:	43.000000    	their		3.761200	2.564949
14:	41.000000    	sunday		3.713572	2.639057
15:	40.000000    	de		3.688879	2.708050
16:	39.000000    	only		3.663562	2.772589
17:	39.000000    	made		3.663562	2.833213
18:	38.000000    	them		3.637586	2.890372
19:	38.000000    	i’ve		3.637586	2.944439
20:	36.000000    	way		3.583519	2.995732
21:	34.000000    	great		3.526361	3.044522
22:	34.000000    	could		3.526361	3.091042
23:	33.000000    	last		3.496508	3.135494
24:	33.000000    	ass		3.496508	3.178054
25:	33.000000    	say		3.496508	3.218876
26:	32.000000    	these		3.465736	3.258097
27:	32.000000    	while		3.465736	3.295837
28:	32.000000    	before		3.465736	3.332205
29:	31.000000    	shit		3.433987	3.367296
30:	31.000000    	little		3.433987	3.401197
31:	29.000000    	come		3.367296	3.433987
32:	29.000000    	myself		3.367296	3.465736
33:	29.000000    	week		3.367296	3.496508
34:	29.000000    	still		3.367296	3.526361
35:	28.000000    	😂		3.332205	3.555348
36:	28.000000    	lol		3.332205	3.583519
37:	28.000000    	better		3.332205	3.610918
38:	27.000000    	gonna		3.295837	3.637586
39:	27.000000    	did		3.295837	3.663562
40:	27.000000    	que		3.295837	3.688879
41:	27.000000    	—		3.295837	3.713572
42:	27.000000    	something		3.295837	3.737670
43:	26.000000    	here		3.258097	3.761200
44:	26.000000    	us		3.258097	3.784190
45:	25.000000    	i’ll		3.218876	3.806662
46:	25.000000    	off		3.218876	3.828641
47:	25.000000    	well		3.218876	3.850148
48:	24.000000    	life		3.178054	3.871201
49:	24.000000    	favorite		3.178054	3.891820
50:	24.000000    	does		3.178054	3.912023
51:	24.000000    	y’all		3.178054	3.931826
52:	23.000000    	its		3.135494	3.951244
53:	23.000000    	having		3.135494	3.970292
54:	23.000000    	look		3.135494	3.988984
55:	23.000000    	stop		3.135494	4.007333
56:	23.000000    	money		3.135494	4.025352
57:	23.000000    	you’re		3.135494	4.043051
58:	23.000000    	watch		3.135494	4.060443
59:	23.000000    	prep		3.135494	4.077537
60:	23.000000    	hungry		3.135494	4.094345
61:	22.000000    	th		3.091042	4.110874
62:	22.000000    	also		3.091042	4.127134
63:	22.000000    	pizza		3.091042	4.143135
64:	22.000000    	night		3.091042	4.158883
65:	22.000000    	said		3.091042	4.174387
66:	22.000000    	yummy		3.091042	4.189655
67:	22.000000    	fuck		3.091042	4.204693
68:	22.000000    	were		3.091042	4.219508
69:	22.000000    	those		3.091042	4.234107
70:	22.000000    	la		3.091042	4.248495
71:	21.000000    	where		3.044522	4.262680
72:	21.000000    	whole		3.044522	4.276666
73:	21.000000    	dinner.		3.044522	4.290459
74:	21.000000    	work		3.044522	4.304065
75:	21.000000    	morning		3.044522	4.317488
76:	21.000000    	done		3.044522	4.330733
77:	21.000000    	free		3.044522	4.343805
78:	20.000000    	try		2.995732	4.356709
79:	20.000000    	literally		2.995732	4.369448
80:	20.000000    	order		2.995732	4.382027
81:	20.000000    	down		2.995732	4.394449
82:	20.000000    	put		2.995732	4.406719
83:	20.000000    	home		2.995732	4.418841
84:	20.000000    	making		2.995732	4.430817
85:	19.000000    	right		2.944439	4.442651
86:	19.000000    	into		2.944439	4.454347
87:	19.000000    	trying		2.944439	4.465908
88:	19.000000    	first		2.944439	4.477337
89:	19.000000    	birthday		2.944439	4.488636
90:	19.000000    	fast		2.944439	4.499810
91:	19.000000    	nice		2.944439	4.510860
92:	19.000000    	other		2.944439	4.521789
93:	18.000000    	can't		2.890372	4.532599
94:	18.000000    	😭		2.890372	4.543295
95:	18.000000    	anything		2.890372	4.553877
96:	18.000000    	cause		2.890372	4.564348
97:	18.000000    	same		2.890372	4.574711
98:	18.000000    	again		2.890372	4.584967
99:	18.000000    	part		2.890372	4.595120
100:	18.000000    	most		2.890372	4.605170
101:	18.000000    	t…		2.890372	4.615121
102:	17.000000    	hot		2.833213	4.624973
103:	17.000000    	it.		2.833213	4.634729
104:	17.000000    	:		2.833213	4.644391
105:	17.000000    	family		2.833213	4.653960
106:	17.000000    	actually		2.833213	4.663439
107:	17.000000    	roast		2.833213	4.672829
108:	17.000000    	went		2.833213	4.682131
109:	17.000000    	man		2.833213	4.691348
110:	17.000000    	je		2.833213	4.700480
111:	17.000000    	everything		2.833213	4.709530
112:	17.000000    	own		2.833213	4.718499
113:	16.000000    	things		2.772589	4.727388
114:	16.000000    	old		2.772589	4.736198
115:	16.000000    	next		2.772589	4.744932
116:	16.000000    	start		2.772589	4.753590
117:	16.000000    	drink		2.772589	4.762174
118:	16.000000    	year		2.772589	4.770685
119:	16.000000    	ready		2.772589	4.779123
120:	16.000000    	bitch		2.772589	4.787492
121:	16.000000    	?		2.772589	4.795791
122:	16.000000    	😂😂😂		2.772589	4.804021
123:	16.000000    	meat		2.772589	4.812184
124:	16.000000    	wait		2.772589	4.820282
