8582.000000  	
716.000000   	www
644.000000   	the
476.000000   	i
472.000000   	to
397.000000   	language
393.000000   	a
342.000000   	and
336.000000   	of
286.000000   	in
245.000000   	speech
243.000000   	is
221.000000   	s
219.000000   	you
202.000000   	it
194.000000   	this
165.000000   	t
161.000000   	my
158.000000   	that
157.000000   	for
115.000000   	with
100.000000   	on
99.000000    	me
95.000000    	was
92.000000    	are
92.000000    	have
90.000000    	so
90.000000    	but
88.000000    	not
87.000000    	what
86.000000    	they
84.000000    	be
81.000000    	can
77.000000    	when
74.000000    	speak
71.000000    	we
70.000000    	m
70.000000    	at
68.000000    	your
64.000000    	if
64.000000    	he
63.000000    	don
63.000000    	as
63.000000    	about
62.000000    	people
59.000000    	just
59.000000    	all
59.000000    	like
58.000000    	how
55.000000    	know
54.000000    	do
54.000000    	from
54.000000    	english
53.000000    	by
52.000000    	their
52.000000    	out
49.000000    	who
48.000000    	an
48.000000    	amp
46.000000    	one
45.000000    	or
44.000000    	love
43.000000    	learning
43.000000    	she
42.000000    	his
42.000000    	our
41.000000    	re
39.000000    	here
39.000000    	free
39.000000    	her
37.000000    	will
35.000000    	has
35.000000    	no
34.000000    	being
34.000000    	up
33.000000    	more
32.000000    	get
32.000000    	learn
32.000000    	should
31.000000    	why
30.000000    	only
30.000000    	read
28.000000    	machine
28.000000    	time
28.000000    	because
28.000000    	us
28.000000    	need
28.000000    	other
27.000000    	even
27.000000    	now
27.000000    	most
25.000000    	new
25.000000    	want
25.000000    	right
25.000000    	sign
24.000000    	them
24.000000    	there
24.000000    	video
24.000000    	hate
23.000000    	think
23.000000    	going
23.000000    	really
23.000000    	some
23.000000    	use
23.000000    	which
22.000000    	did
22.000000    	man
22.000000    	say
22.000000    	day
21.000000    	after
21.000000    	shit
21.000000    	spanish
21.000000    	than
21.000000    	am
21.000000    	understand
21.000000    	d
20.000000    	every
20.000000    	speaking
20.000000    	country
20.000000    	been
20.000000    	first
20.000000    	2
20.000000    	students
20.000000    	also
19.000000    	de
19.000000    	make
19.000000    	french
19.000000    	full
19.000000    	great
19.000000    	does
18.000000    	then
18.000000    	good
18.000000    	too
18.000000    	said
18.000000    	way
18.000000    	name
18.000000    	into
17.000000    	given
17.000000    	stop
17.000000    	much
16.000000    	never
16.000000    	still
16.000000    	thank
16.000000    	those
16.000000    	very
16.000000    	always
16.000000    	everyone
16.000000    	feel
16.000000    	doesn
16.000000    	native
15.000000    	would
15.000000    	watch
15.000000    	change
15.000000    	trump
15.000000    	fuck
15.000000    	1
15.000000    	white
15.000000    	were
15.000000    	using
15.000000    	important
15.000000    	different
15.000000    	someone
15.000000    	check
15.000000    	computer
15.000000    	body
15.000000    	ve
15.000000    	well
14.000000    	anyone
14.000000    	any
14.000000    	many
14.000000    	science
14.000000    	see
14.000000    	let
14.000000    	parents
14.000000    	go
14.000000    	could
13.000000    	n
13.000000    	music
13.000000    	work
13.000000    	better
13.000000    	best
13.000000    	had
13.000000    	didn
13.000000    	take
13.000000    	german
13.000000    	come
13.000000    	these
13.000000    	real
13.000000    	th
13.000000    	ass
13.000000    	b
13.000000    	y
13.000000    	fucking
13.000000    	back
13.000000    	keep
13.000000    	state
13.000000    	own
12.000000    	school
12.000000    	ever
12.000000    	im
12.000000    	big
12.000000    	yes
12.000000    	today
12.000000    	black
12.000000    	where
12.000000    	ai
12.000000    	w
12.000000    	him
12.000000    	please
12.000000    	last
12.000000    	shutdown
12.000000    	single
12.000000    	try
12.000000    	makes
11.000000    	give
11.000000    	listen
11.000000    	things
11.000000    	human
11.000000    	team
11.000000    	lmao
11.000000    	3
11.000000    	mom
11.000000    	c
11.000000    	point
11.000000    	twitter
11.000000    	labor
11.000000    	que
10.000000    	must
10.000000    	president
